,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME
703,3,7.3,2.4,5.7
3587,5,5.5,1.2,5.4
1249,6,16.9,5.2,4.9
4804,0,6.6,2.5,1.2
2472,0,23.6,12.4,1.1
1860,0,19.9,4.6,0.6
709,2,6.5,1.0,2.4
2672,1,22.6,7.3,2.0
4514,1,23.5,3.1,3.0
1461,3,27.3,8.3,4.1
1484,9,23.9,4.8,8.2
2545,2,14.4,3.5,2.3
230,0,24.4,4.1,2.7
1356,0,21.2,7.0,0.7
3011,6,10.6,1.7,12.3
851,6,19.8,1.7,8.0
1004,1,24.8,6.0,1.6
1996,0,28.9,4.5,1.2
1834,0,24.1,4.7,0.7
3973,8,8.4,4.2,6.5
4532,3,9.1,3.9,7.0
1316,10,11.5,3.7,6.8
3327,0,24.6,10.1,1.2
1623,0,18.8,6.3,0.7
1480,2,5.5,3.8,2.9
3833,0,2.2,3.9,0.0
5099,1,5.6,2.2,0.1
1278,2,1.4,2.0,2.7
3080,3,24.4,3.5,3.4
1823,0,23.6,5.0,0.8
1053,0,25.3,4.5,0.9
4145,26,7.0,2.3,21.5
475,3,21.9,3.7,3.9
2282,2,24.7,6.2,4.9
3711,2,4.8,11.5,2.2
3146,1,25.8,4.5,1.1
335,3,17.5,3.7,9.9
2617,0,25.6,2.7,0.7
3662,18,1.0,0.0,22.5
88,4,25.7,3.1,5.2
874,0,26.6,5.7,0.1
543,4,17.5,4.1,3.8
5337,0,24.7,6.3,0.7
3000,1,19.1,3.7,1.8
2760,4,17.9,2.6,2.2
6431,2,5.2,1.7,4.4
1880,0,17.4,4.1,0.7
6315,0,4.8,2.3,0.8
926,0,0.4,3.2,1.2
319,8,0.1,2.2,8.8
4615,1,7.1,2.3,1.4
878,0,27.5,8.4,1.0
3994,2,17.8,8.3,5.2
4921,3,12.5,3.8,5.7
3246,1,5.2,1.3,1.6
5386,8,3.9,1.4,5.8
3078,8,14.6,3.3,5.8
3761,6,19.5,6.5,6.3
4730,1,4.5,2.0,1.9
5942,2,12.9,2.9,3.3
4234,3,20.6,6.3,5.0
4259,0,24.8,15.2,4.8
1618,0,22.6,14.6,0.9
3726,2,4.2,1.0,2.8
6253,3,2.9,1.6,2.4
1045,7,14.6,2.6,3.9
5056,0,5.0,0.9,0.6
1750,6,9.5,3.6,7.3
5151,1,5.5,1.3,1.9
3878,1,25.6,3.8,0.9
3917,0,5.5,7.7,1.0
5189,1,6.2,0.7,6.0
1043,1,16.1,10.8,1.5
3010,3,10.2,3.1,4.0
5155,0,4.3,0.7,0.1
3290,11,19.0,4.6,9.9
6140,0,25.6,2.7,0.7
4751,0,6.4,3.9,1.4
2064,0,23.8,3.1,1.0
2964,12,25.4,5.1,11.9
641,0,22.0,5.8,1.1
137,0,23.2,3.2,0.9
880,4,4.0,2.5,4.6
1976,2,24.8,4.6,3.7
1581,4,24.0,2.0,3.6
4793,0,8.4,7.0,0.0
1097,0,24.8,7.0,1.8
5599,0,23.9,3.9,1.2
6019,1,3.6,3.7,1.8
1392,8,8.7,3.7,7.3
2083,0,25.2,3.2,0.8
1266,0,22.9,4.6,0.6
4231,1,25.9,5.6,2.1
5265,0,25.3,3.3,0.9
2574,0,24.1,4.4,0.7
2135,0,18.9,3.3,0.6
1503,0,21.8,1.3,1.0
5458,1,16.8,3.3,1.3
5765,0,20.5,4.6,0.8
3367,3,18.1,3.1,5.5
3729,3,11.5,3.9,5.2
148,8,15.8,3.1,8.4
303,6,14.4,3.0,6.8
5113,4,11.5,2.1,7.0
1924,0,24.8,3.8,0.7
5148,0,4.4,3.9,0.6
6153,0,25.3,4.5,2.0
2637,0,22.8,9.0,1.1
1904,0,22.8,6.1,1.1
6006,4,18.3,3.0,8.3
4294,0,24.6,7.1,1.2
3842,3,5.8,3.9,4.0
5715,2,3.0,0.4,2.2
1768,3,8.7,2.6,5.0
2875,15,2.5,0.6,13.5
2240,0,20.6,1.2,0.4
4500,10,8.9,2.0,9.1
6415,0,24.3,3.4,2.6
6433,0,1.7,0.6,1.1
483,0,2.2,4.1,0.0
5278,6,16.4,5.5,6.6
5435,2,9.2,3.1,2.2
1280,0,25.0,7.4,1.0
5127,1,5.0,1.1,6.9
3680,5,24.9,3.0,5.8
791,0,25.5,7.7,0.8
4895,0,16.5,4.8,3.6
1201,0,24.6,8.8,0.5
4518,2,3.9,2.7,5.2
3912,6,12.7,4.9,6.4
2362,14,13.7,3.9,10.4
3069,0,2.0,3.6,1.0
3429,7,14.7,2.0,5.8
6386,6,7.4,2.8,5.0
6235,0,24.6,5.6,0.9
5575,5,23.1,0.0,6.1
2591,4,9.4,4.2,4.9
2710,0,23.2,4.4,3.6
1529,7,19.9,3.5,5.9
4998,0,2.0,3.0,0.7
2809,6,25.3,2.9,7.3
685,18,3.0,1.8,14.7
1551,0,25.2,3.7,0.7
4255,0,2.8,4.5,0.6
5095,0,5.2,1.0,0.6
3871,2,12.8,3.9,3.8
5122,1,3.7,2.9,1.2
560,1,14.5,1.4,3.7
2250,1,22.1,4.4,1.4
6029,7,3.1,0.3,5.9
3500,1,2.5,4.4,3.8
2689,4,14.9,3.6,4.2
4208,17,9.2,5.0,15.8
6277,0,19.7,9.6,0.8
3379,0,26.4,4.3,1.3
3193,10,2.8,1.7,10.8
1446,5,24.3,6.0,4.1
1952,1,27.1,4.4,3.5
922,0,23.8,3.5,0.8
1624,3,25.5,6.1,4.2
310,1,4.1,4.9,1.9
1319,0,29.5,6.2,0.1
3531,2,2.8,2.5,3.0
1663,9,11.1,6.0,9.6
815,0,23.8,0.2,3.6
5852,1,17.3,3.8,4.9
2266,3,2.6,1.3,10.0
1473,0,23.2,3.3,1.0
1773,0,18.2,2.9,0.8
4775,7,9.4,2.7,9.0
5957,3,6.1,2.1,4.1
1093,1,15.3,2.2,2.3
4176,0,2.8,7.9,1.1
1950,2,4.3,4.2,3.5
3884,0,1.7,5.7,0.6
6284,2,0.2,2.1,3.3
6344,0,18.1,3.8,1.2
2800,2,8.7,2.6,4.4
1239,3,0.9,4.6,4.5
329,0,24.7,4.1,1.0
3102,4,6.0,1.5,4.0
242,1,17.7,2.8,1.6
6041,0,1.7,0.1,0.4
4737,0,10.0,5.3,0.7
4792,0,3.6,2.6,1.8
2257,4,10.7,4.6,6.1
2818,15,26.7,3.3,13.4
3824,0,23.0,12.5,1.2
753,6,22.8,0.4,6.5
4531,0,19.9,5.3,0.8
1563,5,9.2,5.4,7.7
1934,1,25.6,4.1,1.2
6184,0,4.9,0.2,2.0
