,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME,SHOT_RESULT
14112,2,20.9,3.5,3.2,missed
14113,5,23.7,2.8,4.8,made
14114,1,14.1,3.9,2.2,made
14115,10,10.5,1.1,8.3,missed
14116,6,28.5,6.8,6.6,missed
14117,0,4.6,3.5,0.9,made
14118,0,0.8,3.4,0.9,made
14119,1,24.8,6.7,3.5,made
14120,0,24.7,4.7,0.7,made
14121,0,24.2,2.7,1.0,made
14122,2,25.4,4.9,1.9,missed
14123,0,22.2,17.7,1.2,made
14124,5,25.9,5.7,4.6,made
14125,9,25.5,4.0,5.7,missed
14126,9,22.5,3.8,6.9,missed
14127,3,6.2,3.9,4.5,made
14128,4,25.0,3.6,3.3,missed
14129,8,8.5,4.1,6.9,missed
14130,0,19.7,2.6,0.9,missed
14131,8,4.2,4.3,7.1,made
14132,0,25.5,7.7,0.8,missed
14133,3,7.4,3.7,2.8,missed
14134,3,18.8,4.4,3.1,missed
14135,7,4.0,0.4,6.4,missed
14136,0,26.6,5.8,0.8,missed
14137,0,24.6,5.5,0.7,missed
14138,1,22.1,2.1,1.2,missed
14139,9,25.5,5.7,7.8,made
14140,1,2.3,9.8,1.8,made
14141,8,0.9,2.3,6.6,missed
14142,2,18.9,3.3,2.2,made
14143,5,24.6,2.0,3.9,made
14144,17,26.2,2.8,9.2,made
14145,0,25.1,3.0,0.9,missed
14146,0,23.5,6.7,0.9,made
14147,4,28.5,4.9,2.7,missed
14148,3,16.8,3.3,5.0,made
14149,4,8.3,2.3,3.3,missed
14150,2,24.5,5.4,2.0,missed
14151,0,25.0,5.5,0.9,made
14152,4,20.4,3.7,3.1,made
14153,7,4.5,2.7,4.6,made
14154,0,22.2,3.0,0.6,missed
14155,5,9.2,3.2,3.8,made
14156,0,23.8,0.2,3.6,missed
14157,1,5.5,2.4,2.9,made
14158,7,18.7,4.5,8.8,missed
14159,5,5.4,1.0,5.3,missed
14160,4,24.7,3.4,4.2,made
14161,0,24.9,4.2,0.6,missed
14162,0,23.1,4.4,0.6,made
14163,5,26.5,4.7,5.7,made
14164,4,2.9,3.1,5.3,made
14165,5,13.6,1.7,4.5,made
14166,0,4.5,3.5,1.5,made
14167,7,25.3,6.2,5.8,missed
14168,0,3.1,4.6,0.3,missed
14169,3,21.0,7.3,4.9,missed
14170,0,23.2,4.1,0.6,missed
14171,8,4.2,0.5,5.7,missed
14172,10,24.0,3.8,9.3,made
14173,5,25.2,3.6,6.1,missed
14174,1,7.0,1.9,2.4,made
14175,3,19.0,4.0,4.9,made
14176,2,24.9,6.5,3.9,missed
14177,1,10.7,5.2,2.1,made
14178,3,24.9,2.3,3.8,missed
14179,0,22.7,6.6,0.8,missed
14180,7,18.9,5.0,6.6,made
14181,0,23.5,20.2,1.1,made
14182,12,17.8,7.9,10.0,missed
14183,4,12.3,5.3,2.7,missed
14184,0,20.2,6.1,0.6,missed
14185,9,18.6,5.1,8.9,made
14186,0,29.1,7.2,0.7,missed
14187,0,24.7,4.6,0.0,missed
14188,0,25.7,9.1,0.6,made
14189,3,3.0,1.8,4.2,made
14190,3,27.0,3.9,4.2,missed
14191,2,5.0,2.2,2.9,missed
14192,6,19.8,1.7,8.0,missed
14193,19,22.4,6.7,14.0,missed
14194,0,9.5,3.7,0.7,made
14195,14,23.0,4.4,14.9,missed
14196,0,24.1,10.1,1.0,missed
14197,5,5.8,3.4,4.9,made
14198,16,21.6,5.0,17.5,missed
14199,4,28.6,6.5,6.3,made
14200,1,25.1,9.2,2.2,missed
14201,6,18.2,6.3,4.3,missed
14202,0,24.1,5.1,0.8,missed
14203,2,2.9,2.8,3.5,missed
14204,8,6.2,3.0,6.5,made
14205,17,28.3,6.4,15.8,made
14206,0,4.9,6.4,0.0,missed
14207,3,26.9,7.4,2.8,missed
14208,0,25.5,2.7,0.0,made
14209,8,11.8,2.6,6.1,missed
14210,0,22.4,3.4,0.8,missed
14211,4,25.8,6.1,4.8,made
14212,0,25.8,4.8,0.6,made
14213,11,28.6,0.4,9.0,missed
14214,3,4.9,2.6,3.3,made
14215,0,26.6,5.7,0.1,missed
14216,0,22.9,5.2,0.6,missed
14217,0,27.6,1.6,1.2,missed
14218,2,21.8,4.4,1.7,missed
14219,0,27.5,8.4,1.0,made
14220,0,27.2,3.7,1.1,missed
14221,4,4.0,2.5,4.6,made
14222,0,3.6,1.9,1.7,missed
14223,5,3.3,1.6,5.0,made
14224,8,1.6,0.4,6.9,missed
14225,1,25.0,3.5,1.8,made
14226,8,8.3,5.7,5.2,missed
14227,9,27.0,6.6,7.6,made
14228,9,26.6,5.2,8.5,made
14229,10,3.3,0.2,9.4,missed
14230,0,25.2,4.3,0.9,missed
14231,5,23.1,5.3,5.9,missed
14232,6,1.7,2.9,6.5,made
14233,2,0.1,2.8,2.9,made
14234,4,27.9,5.7,4.2,missed
14235,2,7.4,2.4,2.5,missed
14236,0,24.9,6.4,0.8,missed
14237,6,25.0,1.9,4.9,made
14238,8,18.1,5.1,6.8,made
14239,1,22.7,1.5,1.6,missed
14240,0,24.8,13.3,1.0,made
14241,0,22.9,3.0,0.9,made
14242,7,12.3,3.4,6.6,made
14243,3,24.3,5.1,3.1,missed
14244,10,7.4,4.1,9.3,made
14245,3,4.6,2.7,4.2,made
14246,1,26.8,3.6,1.2,made
14247,0,24.3,12.6,0.5,made
14248,0,24.4,6.6,2.4,made
14249,0,27.7,6.4,0.9,made
14250,2,29.7,4.4,2.4,missed
14251,5,2.3,3.6,5.0,missed
14252,1,27.0,5.2,2.5,made
14253,0,10.6,5.9,0.8,missed
14254,0,27.8,3.9,0.7,made
14255,2,20.8,10.4,4.4,made
14256,4,24.8,2.9,4.7,missed
14257,13,8.3,0.2,12.0,made
14258,7,27.5,4.4,7.3,missed
14259,9,27.3,3.2,8.7,made
14260,1,5.2,3.6,2.5,made
14261,2,7.2,4.0,2.6,missed
14262,1,8.6,4.0,2.2,missed
14263,0,23.8,3.5,0.8,missed
14264,7,5.7,1.2,6.3,made
14265,0,25.7,11.1,0.7,made
14266,0,19.9,0.3,1.6,missed
14267,0,0.4,3.2,1.2,made
14268,0,2.9,1.8,1.6,missed
14269,12,28.3,4.6,10.7,missed
14270,0,25.5,5.9,0.6,missed
14271,2,12.2,7.6,2.2,made
14272,1,24.7,5.3,1.6,missed
14273,7,22.6,4.6,5.8,missed
